Question ID,Correct Option
3767497573,2
3767497574,4
3767497575,4
3767497576,1
3767497577,3
3767497578,3
3767497579,4
3767497580,3
3767497581,1
3767497582,1
3767497583,2
3767497584,4
3767497585,3
3767497586,1
3767497587,4
3767497588,1
3767497589,3
3767497590,2
3767497591,1
3767497592,2
3767497593,2
3767497594,1
3767497595,3
3767497596,3
3767497597,1
3767497598,2
3767497599,2
3767497600,3
3767497601,2
3767497602,4
3767497603,4
3767497604,1
3767497605,2
3767497606,3
3767497607,2
3767497608,2
3767497609,3
3767497610,D
3767497611,1
3767497612,3
3767497613,3
3767497614,4
3767497615,2
3767497616,1
3767497617,4
3767497619,3
3767497620,3
3767497621,2
3767497622,2
3767497623,2
3767497624,1
3767497625,1
3767497626,1
3767497627,2
3767497628,2
3767497629,4
3767497630,3
3767497631,2
3767497632,2
3767497633,3
3767497634,4
3767497635,1
3767497636,1
3767497637,1
3767497638,3
3767497639,3
3767497640,4
3767497641,1
3767497642,3
3767497643,2
3767497644,4
3767497645,1
3767497646,1
3767497647,3
3767497648,3
3767497649,4
3767497650,3
3767497651,3
3767497652,4
3767497653,3
3767497654,4
3767497655,1
3767497656,2
3767497657,1
3767497658,1
3767497659,1
3767497660,3
3767497661,4
3767497662,3
3767497663,2
3767497664,4
3767497665,3
3767497666,2
3767497667,D
3767497668,3
3767497669,3
3767497670,3
3767497671,2
3767497672,4
3767497673,4
3767497674,1
3767497675,2
3767497676,4
3767497677,2
3767497678,2
3767497679,1
3767497680,3
3767497681,1
3767497682,4
3767497683,3
3767497684,1
3767497685,4
3767497686,3
3767497687,4
3767497688,2
3767497689,1
3767497690,4
3767497691,3
3767497692,3
3767497693,2
3767497694,3
3767497695,2
3767497696,2
3767497697,3
3767497698,2
3767497699,1
3767497700,2
3767497701,1
3767497702,4
3767497703,3
3767497704,4
3767497705,3
3767497706,1
3767497707,2
3767497708,2
3767497709,1
3767497710,3
3767497711,3
3767497712,4
3767497713,4
3767497715,1
3767497716,4
3767497717,2
3767497718,3
3767497719,3
3767497721,2
3767497722,4
3767497723,4
3767497724,1
3767497725,3
